gen,currentPointFitness,bestNeighbourUCB,bestOfSampled,1-tupleCoverage,2-tupleCoverage,3-tupleCoverage,4-tupleCoverage,5-tupleCoverage
135,19.639640690674213,19.38163397970654,18.655582386961875,100.0,92.0,41.120000000000005,12.032,2.944
136,19.513832418994514,19.206828818272157,18.6716459635431,100.0,92.0,41.120000000000005,12.032,2.944
137,15.914618912264606,19.35688782336914,18.644194313936737,100.0,92.0,41.120000000000005,12.032,2.944
138,19.622158162678684,19.114330153408254,18.66300828401687,100.0,92.0,41.120000000000005,12.032,2.944
139,18.604321301187692,19.363874966964694,18.6632425305757,100.0,92.0,41.120000000000005,12.032,2.944
140,20.05934501700163,19.11535274260104,18.692341872316174,100.0,92.0,41.120000000000005,12.032,2.944
141,18.283450628800985,19.37897385875544,18.68970155942928,100.0,92.0,41.120000000000005,12.032,2.944
142,20.932275365887573,19.111579433060705,18.738863342688305,100.0,92.0,41.120000000000005,12.032,2.944
143,19.844177003232208,19.42785250859644,18.749797565565075,100.0,92.0,41.120000000000005,12.032,2.944
144,21.3537114896479,19.17654716393043,18.80591737764949,100.0,92.0,41.120000000000005,12.032,2.944
145,18.44146573945833,19.470992486265935,18.80350691478703,100.0,92.0,41.120000000000005,12.032,2.944
146,18.16644759073807,19.153275986585072,18.783077228842263,100.0,92.0,41.120000000000005,12.032,2.944
147,18.82333796901031,19.441724862669933,18.78422494316101,100.0,92.0,41.120000000000005,12.032,2.944
148,19.910372310381884,19.160713219593408,18.804056389528927,100.0,92.0,41.120000000000005,12.032,2.944
149,19.264233329022648,19.12615149213103,18.80863346434355,100.0,92.0,41.120000000000005,12.032,2.944
150,21.19533077892121,19.855180513451476,18.828524389887487,100.0,92.0,41.28,12.128,2.976
151,15.346011046067638,19.792881528454533,18.817920728794505,100.0,92.39999999999999,41.52,12.224,3.008
152,18.097731065791965,19.456726798605988,18.813030303129473,100.0,92.39999999999999,41.52,12.224,3.008
153,18.334795878292738,19.474718404051274,18.798001050207066,100.0,92.39999999999999,41.52,12.224,3.008
154,18.21200592860113,19.429299831373452,18.794336917442898,100.0,92.39999999999999,41.52,12.224,3.008
155,18.112752927169655,19.036103571703777,18.77579948512148,100.0,92.39999999999999,41.52,12.224,3.008
156,17.83066557241184,19.41833157356328,18.76769129106661,100.0,92.39999999999999,41.52,12.319999999999999,3.04
157,17.717211269281485,19.391000377091057,18.76564843120529,100.0,92.39999999999999,41.68,12.416,3.072
158,19.511603600786387,19.33301728534442,18.7763712137674,100.0,92.39999999999999,41.68,12.416,3.072
159,18.934526285738954,19.395667528631133,18.77821296209474,100.0,92.39999999999999,41.68,12.416,3.072
160,20.65569441489865,19.344332114525496,18.810610732574222,100.0,92.39999999999999,41.68,12.416,3.072
161,17.787323450520685,19.41422905375418,18.804322745098837,100.0,92.39999999999999,41.68,12.416,3.072
162,18.90155683040353,19.34392373821681,18.802402609288976,100.0,92.39999999999999,41.68,12.416,3.072
163,15.494128452964917,19.18456164519122,18.79390296913071,100.0,92.39999999999999,41.84,12.544,3.104
164,14.432019216088069,19.385667953301642,18.7823326763275,100.0,92.39999999999999,42.080000000000005,12.672,3.136
165,19.656795624713006,19.149583186378578,18.794710715815977,100.0,92.39999999999999,42.080000000000005,12.672,3.136
166,18.428222880598348,19.38961446674967,18.79323367502562,100.0,92.39999999999999,42.080000000000005,12.672,3.136
167,19.04136463260685,19.151722265557936,18.794194514713535,100.0,92.39999999999999,42.080000000000005,12.672,3.136
168,17.609901487196534,19.37657213542828,18.78697046701837,100.0,92.39999999999999,42.080000000000005,12.672,3.136
169,18.679341618553924,19.152207316455158,18.78180993628899,100.0,92.39999999999999,42.080000000000005,12.672,3.136
170,14.63768445433374,19.108536084753574,18.778089257459246,100.0,92.8,42.48,12.799999999999999,3.168
171,15.610379984336186,19.090564929864936,18.771651495763546,100.0,92.8,42.720000000000006,12.895999999999999,3.2
172,18.269608678457303,19.35206341698843,18.76909728538657,100.0,92.8,42.720000000000006,12.895999999999999,3.2
173,21.332641374063122,19.09077139786053,18.809320430791185,100.0,92.8,42.720000000000006,12.895999999999999,3.2
174,19.98714217439256,19.055878022807374,18.817265869755072,100.0,92.8,42.720000000000006,12.895999999999999,3.2
175,14.331158022183503,19.109872587757884,18.806565017795734,100.0,93.19999999999999,43.120000000000005,13.024,3.232
176,18.318015482893763,19.379438979014562,18.804311158721326,100.0,93.19999999999999,43.120000000000005,13.024,3.232
177,19.656145564579077,19.1009984876581,18.815169423649877,100.0,93.19999999999999,43.120000000000005,13.024,3.232
178,18.878452643918028,19.385450832809077,18.81626463756191,100.0,93.19999999999999,43.120000000000005,13.024,3.232
179,20.62361358705769,19.158558751824188,18.84226371427029,100.0,93.19999999999999,43.120000000000005,13.024,3.232
180,18.646797880982046,19.405327606799126,18.841910269866556,100.0,93.19999999999999,43.120000000000005,13.024,3.232
181,21.01110419860242,19.16463398485599,18.873015514479572,100.0,93.19999999999999,43.120000000000005,13.024,3.232
182,19.458746234774765,19.435022592978434,18.877167976547046,100.0,93.19999999999999,43.120000000000005,13.024,3.232
183,19.827425244281244,19.251857579485804,18.888929035293973,100.0,93.19999999999999,43.120000000000005,13.024,3.232
184,14.46256767741649,19.01898233173439,18.885329882421107,100.0,93.19999999999999,43.36000000000001,13.152000000000001,3.2640000000000002
185,19.57290485520011,19.442274176952708,18.89028851550252,100.0,93.19999999999999,43.36000000000001,13.152000000000001,3.2960000000000003
186,19.986762069693103,19.19198335757171,18.903986131416776,100.0,93.19999999999999,43.36000000000001,13.152000000000001,3.2960000000000003
187,16.840212220826544,19.047336196002256,18.893504658021097,100.0,93.19999999999999,43.36000000000001,13.152000000000001,3.2960000000000003
188,14.232343348150254,19.429864271817188,18.88335020651252,100.0,93.19999999999999,43.6,13.28,3.328
189,22.10133801540718,19.04478680462066,18.92768806633464,100.0,93.19999999999999,43.6,13.28,3.328
190,17.449316968798115,19.46734750686394,18.92507860322339,100.0,93.19999999999999,43.68000000000001,13.376,3.36
191,21.341194735751888,19.15021618052546,18.957091175782686,100.0,93.19999999999999,43.68000000000001,13.376,3.36
192,19.40347537281615,19.497536304078558,18.960160559964987,100.0,93.19999999999999,43.68000000000001,13.376,3.36
193,18.517752345113752,19.194202847636266,18.95137173519483,100.0,93.19999999999999,43.68000000000001,13.376,3.36
194,19.295420413499482,19.485909333758553,18.953722233493938,100.0,93.19999999999999,43.68000000000001,13.376,3.36
195,21.411641505577165,19.173562582245218,18.985085363355438,100.0,93.19999999999999,43.68000000000001,13.376,3.36
196,20.70559188003311,19.52212312160442,18.99452253520373,100.0,93.19999999999999,43.68000000000001,13.376,3.36
197,17.8769264489275,19.23834586030522,18.977115472122378,100.0,93.19999999999999,43.68000000000001,13.376,3.36
198,18.966268487444545,19.500032203446306,18.977282332842314,100.0,93.19999999999999,43.68000000000001,13.376,3.36
199,19.492461944397164,19.242486407859158,18.981885582580052,100.0,93.19999999999999,43.68000000000001,13.376,3.36
200,18.80514136434504,19.49919083624352,18.981117424399972,100.0,93.19999999999999,43.68000000000001,13.376,3.36
